epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,30630.9,0.92356,0.74712,1.07288,0.92576,0.91315,0.95244,0.68343,0.9416,0.70752,1.08244,0.000442469,0.000442469,0.000442469
61,31017.9,0.93401,0.75391,1.07794,0.93058,0.90954,0.95327,0.68821,0.92958,0.69916,1.07474,0.000439375,0.000439375,0.000439375
62,31486.2,0.91517,0.73511,1.07212,0.94666,0.92739,0.96201,0.69265,0.92977,0.69496,1.07271,0.000436281,0.000436281,0.000436281
63,31955.9,0.92842,0.74027,1.0783,0.95313,0.88559,0.95133,0.69014,0.93281,0.71321,1.08249,0.000433187,0.000433187,0.000433187
64,32417.9,0.92173,0.75129,1.07035,0.9282,0.92589,0.94738,0.68992,0.94167,0.7025,1.09783,0.000430094,0.000430094,0.000430094
65,32870.1,0.90725,0.71779,1.05858,0.95186,0.9161,0.96342,0.69519,0.90975,0.66676,1.04678,0.000427,0.000427,0.000427
66,33326,0.91558,0.73456,1.06851,0.93778,0.9194,0.95632,0.69181,0.90081,0.65938,1.04781,0.000423906,0.000423906,0.000423906
67,33782.9,0.90309,0.71405,1.05232,0.95263,0.92689,0.96629,0.70433,0.91528,0.66363,1.06057,0.000420812,0.000420812,0.000420812
68,34246.3,0.88567,0.70927,1.0576,0.9549,0.92581,0.96689,0.70514,0.91374,0.66844,1.05782,0.000417719,0.000417719,0.000417719
69,34722.3,0.91608,0.79307,1.05746,0.9559,0.92525,0.96948,0.70535,0.9101,0.66022,1.0545,0.000414625,0.000414625,0.000414625
70,35180.6,0.90264,0.71996,1.05755,0.95328,0.92105,0.96753,0.70536,0.92031,0.66875,1.06933,0.000411531,0.000411531,0.000411531
71,35643.8,0.89113,0.69974,1.05114,0.95361,0.92204,0.96701,0.70702,0.92121,0.67892,1.07727,0.000408438,0.000408438,0.000408438
72,36102.8,0.88426,0.70758,1.0446,0.94846,0.94095,0.97533,0.71707,0.90923,0.6554,1.04883,0.000405344,0.000405344,0.000405344
73,36573.5,0.8738,0.69156,1.04028,0.91962,0.93249,0.9573,0.70125,0.91403,0.659,1.05123,0.00040225,0.00040225,0.00040225
74,37035.1,0.89105,0.68624,1.03829,0.94994,0.93416,0.97044,0.70297,0.9087,0.64652,1.04903,0.000399156,0.000399156,0.000399156
75,37511.1,0.88488,0.70011,1.05519,0.95173,0.9206,0.97073,0.70754,0.90507,0.6507,1.05545,0.000396063,0.000396063,0.000396063
76,37983.9,0.86222,0.67096,1.04013,0.94062,0.91036,0.96547,0.69949,0.92397,0.64889,1.06567,0.000392969,0.000392969,0.000392969
77,38464.8,0.87358,0.6735,1.04246,0.96148,0.91681,0.97129,0.70466,0.91411,0.65454,1.08415,0.000389875,0.000389875,0.000389875
